,AXA,GENERALI ITALIA,HDI,ZURICH_LIFE,CREDIT_AGRICOLE,,,
R0010,"569,000,000","1,618,628","351,000","207,925","236,350",,,
R0030,0,"4,186,115",0,0,0,,,
R0040,0,0,0,0,0,,,
R0050,0,0,0,0,0,,,
R0070,0,0,0,0,0,,,
R0090,0,0,0,0,0,,,
R0110,0,0,0,0,0,,,
R0130,"758,869,406","13,976,214","389,145","542,383","1,142,127",,,
R0140,"129,110,000","248,817","167,419",0,"682,977",,,
R0160,0,0,0,0,0,,,
R0180,0,0,0,0,0,,,
R0220,0,0,0,0,0,,,
R0230,0,0,0,0,0,,,
R0290,"1,456,979,406","20,029,775","907,564","750,308","2,061,453",,,
R0300,0,0,0,0,0,,,
R0310,0,0,0,0,0,,,
R0320,0,0,0,0,0,,,
R0330,0,0,0,0,0,,,
R0340,0,0,0,0,0,,,
R0350,0,0,0,0,0,,,
R0360,0,0,0,0,0,,,
R0370,0,0,0,0,0,,,
R0390,0,0,0,0,0,,,
R0400,0,0,0,0,0,,,
R0500,"1,456,979,406","20,029,775","907,564","750,308","2,061,453",,,
R0510,"1,456,979,406","20,029,775","907,564","750,308","2,061,453",,,
R0540,"1,456,979,406","20,029,775","907,564","750,308","2,061,453",,,
R0550,"1,456,979,406","20,029,775","778,853","750,308","1,690,741",,,
R0580,"747,517,878","7,777,064","430,089","371,654",965615,,,
R0600,"336,383,045","3,239,737","193,540","167,244",434527,,,
R0620,195,258,211,202,213,,,
R0640,433,618,402,449,389,,,
